question,response,count
What are your preferred pronouns?,He/him,7
What are your preferred pronouns?,She/her,17
What is your formal position?,Consultant,1
What is your formal position?,Datamanager,2
What is your formal position?,GP consultant,1
What is your formal position?,IT Consultant,1
What is your formal position?,Masters student,1
What is your formal position?,PhD student,4
What is your formal position?,Pojectleader,1
What is your formal position?,Postdoc,3
What is your formal position?,Project secretary,1
What is your formal position?,Research Project Coordinator,1
What is your formal position?,Research assistant,1
What is your formal position?,Researcher,7
Do you accept the conditions laid out in the Code of Conduct?,Yes,24
